,identifier,total,rate
4428,decimalarray,33,1.4962593516209477e-05
4429,get_scorer,33,1.4962593516209477e-05
4430,consistent_data,33,1.4962593516209477e-05
4431,n_steps,33,1.4962593516209477e-05
4432,level1,33,1.4962593516209477e-05
4433,usetex,33,1.4962593516209477e-05
4434,accept,33,1.4962593516209477e-05
4435,vh2,33,1.4962593516209477e-05
4436,caseinsensitivedict,33,1.4962593516209477e-05
4437,changed,33,1.4962593516209477e-05
4438,nullformatter,33,1.4962593516209477e-05
4439,gufunc,33,1.4962593516209477e-05
4440,convert_dates,33,1.4962593516209477e-05
4441,mframe,33,1.4962593516209477e-05
4442,gs0,33,1.4962593516209477e-05
4443,passwordinput,33,1.4962593516209477e-05
4444,result0,33,1.4962593516209477e-05
4445,sos2,33,1.4962593516209477e-05
4446,y_offset,33,1.4962593516209477e-05
4447,test_database_name,33,1.4962593516209477e-05
4448,h_abs,33,1.4962593516209477e-05
4449,ccompiler,33,1.4962593516209477e-05
4450,h_adjusted,33,1.4962593516209477e-05
4451,dev,33,1.4962593516209477e-05
4452,hstack,33,1.4962593516209477e-05
4453,expires,33,1.4962593516209477e-05
4454,close_server,33,1.4962593516209477e-05
4455,ld,33,1.4962593516209477e-05
4456,x_sp,33,1.4962593516209477e-05
4457,tag_name,33,1.4962593516209477e-05
4458,deferrable,33,1.4962593516209477e-05
4459,yl,33,1.4962593516209477e-05
4460,randint,33,1.4962593516209477e-05
4461,relop,33,1.4962593516209477e-05
4462,toolitem,33,1.4962593516209477e-05
4463,tony,33,1.4962593516209477e-05
4464,inferred,33,1.4962593516209477e-05
4465,ranking,33,1.4962593516209477e-05
4466,addr,33,1.4962593516209477e-05
4467,xdescent,33,1.4962593516209477e-05
4468,bool_,33,1.4962593516209477e-05
4469,get_standard_colors,33,1.4962593516209477e-05
4470,each,33,1.4962593516209477e-05
4471,shading,33,1.4962593516209477e-05
4472,checkingclassifier,33,1.4962593516209477e-05
4473,opt_res,33,1.4962593516209477e-05
4474,is_number,33,1.4962593516209477e-05
4475,df_dc,33,1.4962593516209477e-05
4476,solution,33,1.4962593516209477e-05
4477,arrowprops,33,1.4962593516209477e-05
4478,namedmodel,33,1.4962593516209477e-05
4479,autodetectortests,33,1.4962593516209477e-05
4480,duplicates,33,1.4962593516209477e-05
4481,build_dataset,33,1.4962593516209477e-05
4482,n_leaves,33,1.4962593516209477e-05
4483,db_name,33,1.4962593516209477e-05
4484,minp,33,1.4962593516209477e-05
4485,subfig,33,1.4962593516209477e-05
4486,i_w,33,1.4962593516209477e-05
4487,assert_no_overwrite,33,1.4962593516209477e-05
4488,is_string,33,1.4962593516209477e-05
4489,i_h,33,1.4962593516209477e-05
4490,idx0,33,1.4962593516209477e-05
4491,wts,33,1.4962593516209477e-05
4492,supplier,33,1.4962593516209477e-05
4493,expected_html,33,1.4962593516209477e-05
4494,nrow,33,1.4962593516209477e-05
4495,people,33,1.4962593516209477e-05
4496,a_dtype,33,1.4962593516209477e-05
4497,dif,33,1.4962593516209477e-05
4498,branches,33,1.4962593516209477e-05
4499,input_shapes,33,1.4962593516209477e-05
4500,update_order,33,1.4962593516209477e-05
4501,parsererror,33,1.4962593516209477e-05
4502,c_eq,33,1.4962593516209477e-05
4503,clevs,33,1.4962593516209477e-05
4504,username_field,33,1.4962593516209477e-05
4505,had_data,33,1.4962593516209477e-05
4506,x_outliers,33,1.4962593516209477e-05
4507,col_type,33,1.4962593516209477e-05
4508,hessp,33,1.4962593516209477e-05
4509,gradient_out,33,1.4962593516209477e-05
4510,typecode,33,1.4962593516209477e-05
4511,template_path,33,1.4962593516209477e-05
4512,ambiguous,33,1.4962593516209477e-05
4513,ngettext_lazy,33,1.4962593516209477e-05
4514,baseexception,33,1.4962593516209477e-05
4515,sum_gradients,33,1.4962593516209477e-05
4516,buffers,33,1.4962593516209477e-05
4517,tipo,33,1.4962593516209477e-05
4518,new_lines,33,1.4962593516209477e-05
4519,dx1,33,1.4962593516209477e-05
4520,dbc_dyb,33,1.4962593516209477e-05
4521,ordered_sigs,33,1.4962593516209477e-05
4522,sparse_format,33,1.4962593516209477e-05
4523,score1,33,1.4962593516209477e-05
4524,indexingerror,33,1.4962593516209477e-05
4525,axisline,32,1.4509181591475856e-05
4526,headline,32,1.4509181591475856e-05
4527,learning_curve,32,1.4509181591475856e-05
4528,f_classif,32,1.4509181591475856e-05
4529,date_field,32,1.4509181591475856e-05
4530,change,32,1.4509181591475856e-05
4531,nocolor_palette,32,1.4509181591475856e-05
4532,objective,32,1.4509181591475856e-05
4533,error4,32,1.4509181591475856e-05
4534,polygons,32,1.4509181591475856e-05
4535,hn,32,1.4509181591475856e-05
4536,field_params,32,1.4509181591475856e-05
4537,expected_warning,32,1.4509181591475856e-05
4538,csrf_secret,32,1.4509181591475856e-05
4539,result4,32,1.4509181591475856e-05
4540,x_trans_inv,32,1.4509181591475856e-05
4541,related_fields,32,1.4509181591475856e-05
4542,language_code,32,1.4509181591475856e-05
4543,bookformset,32,1.4509181591475856e-05
4544,sy,32,1.4509181591475856e-05
4545,_is_32bit,32,1.4509181591475856e-05
4546,replacement,32,1.4509181591475856e-05
4547,precisionrecalldisplay,32,1.4509181591475856e-05
4548,a_orig,32,1.4509181591475856e-05
4549,return_n_iter,32,1.4509181591475856e-05
4550,flatpage,32,1.4509181591475856e-05
4551,delattr,32,1.4509181591475856e-05
4552,finder,32,1.4509181591475856e-05
4553,offset_types,32,1.4509181591475856e-05
4554,_check_fill_value,32,1.4509181591475856e-05
4555,rbf_kernel,32,1.4509181591475856e-05
4556,read,32,1.4509181591475856e-05
4557,file_obj,32,1.4509181591475856e-05
4558,fnan,32,1.4509181591475856e-05
4559,nearestneighbors,32,1.4509181591475856e-05
4560,songadmin,32,1.4509181591475856e-05
4561,settings_module,32,1.4509181591475856e-05
4562,chisq,32,1.4509181591475856e-05
4563,sp_fft,32,1.4509181591475856e-05
4564,listener,32,1.4509181591475856e-05
4565,float_,32,1.4509181591475856e-05
4566,sca,32,1.4509181591475856e-05
4567,n_candidates,32,1.4509181591475856e-05
4568,iu,32,1.4509181591475856e-05
4569,reporter_filter,32,1.4509181591475856e-05
4570,average_coef,32,1.4509181591475856e-05
4571,hyperkw,32,1.4509181591475856e-05
4572,denomp,32,1.4509181591475856e-05
4573,optics,32,1.4509181591475856e-05
4574,deconstructible,32,1.4509181591475856e-05
4575,blockindex,32,1.4509181591475856e-05
4576,dir_env_var,32,1.4509181591475856e-05
4577,n_iter_no_change,32,1.4509181591475856e-05
4578,validation_fraction,32,1.4509181591475856e-05
4579,add_url,32,1.4509181591475856e-05
4580,rfft,32,1.4509181591475856e-05
4581,forestclassifier,32,1.4509181591475856e-05
4582,dem,32,1.4509181591475856e-05
4583,sparse_index,32,1.4509181591475856e-05
4584,nump,32,1.4509181591475856e-05
4585,extra_compile_args,32,1.4509181591475856e-05
4586,npvalues,32,1.4509181591475856e-05
4587,tr_solver,32,1.4509181591475856e-05
4588,excinfo,32,1.4509181591475856e-05
4589,_register_style,32,1.4509181591475856e-05
4590,acc,32,1.4509181591475856e-05
4591,links,32,1.4509181591475856e-05
4592,iterationnumber,32,1.4509181591475856e-05
4593,gi,32,1.4509181591475856e-05
4594,versions,32,1.4509181591475856e-05
4595,old_value,32,1.4509181591475856e-05
4596,c_parser_only,32,1.4509181591475856e-05
4597,xg,32,1.4509181591475856e-05
4598,margins_name,32,1.4509181591475856e-05
4599,ngettext,32,1.4509181591475856e-05
4600,segs,32,1.4509181591475856e-05
4601,int8,32,1.4509181591475856e-05
4602,scramble,32,1.4509181591475856e-05
4603,y_scores,32,1.4509181591475856e-05
4604,a_range,32,1.4509181591475856e-05
4605,expected_results,32,1.4509181591475856e-05
4606,hashingvectorizer,32,1.4509181591475856e-05
4607,handlers,32,1.4509181591475856e-05
4608,nullable_string_dtype,32,1.4509181591475856e-05
4609,keepdb,32,1.4509181591475856e-05
4610,n11,32,1.4509181591475856e-05
4611,k_gradient,32,1.4509181591475856e-05
4612,numpyversion,32,1.4509181591475856e-05
4613,fakepayload,32,1.4509181591475856e-05
4614,n_dims,32,1.4509181591475856e-05
4615,ten,32,1.4509181591475856e-05
4616,exp_rows,32,1.4509181591475856e-05
4617,x_f32,32,1.4509181591475856e-05
4618,arr_a,32,1.4509181591475856e-05
4619,axarr,32,1.4509181591475856e-05
4620,randomized_svd,32,1.4509181591475856e-05
4621,lsim,32,1.4509181591475856e-05
4622,known_url,32,1.4509181591475856e-05
4623,test_series,32,1.4509181591475856e-05
4624,unicode,32,1.4509181591475856e-05
4625,numtaps,32,1.4509181591475856e-05
4626,custom_colors,32,1.4509181591475856e-05
4627,axis_int,32,1.4509181591475856e-05
4628,cts,32,1.4509181591475856e-05
4629,avatar,32,1.4509181591475856e-05
4630,assert_array_max_ulp,32,1.4509181591475856e-05
4631,is_string_dtype,32,1.4509181591475856e-05
4632,infodict,32,1.4509181591475856e-05
4633,tds,32,1.4509181591475856e-05
4634,index_label,32,1.4509181591475856e-05
4635,any_real_numpy_dtype,32,1.4509181591475856e-05
4636,mod_path,32,1.4509181591475856e-05
4637,a6,32,1.4509181591475856e-05
4638,outofboundstimedelta,32,1.4509181591475856e-05
4639,argkmin,32,1.4509181591475856e-05
4640,ainf,32,1.4509181591475856e-05
4641,winreg,32,1.4509181591475856e-05
4642,_dvistate,32,1.4509181591475856e-05
4643,lead,32,1.4509181591475856e-05
4644,pred1,32,1.4509181591475856e-05
4645,jsonfield,32,1.4509181591475856e-05
4646,data_dir,32,1.4509181591475856e-05
4647,filesystemstorage,32,1.4509181591475856e-05
4648,mgrid,32,1.4509181591475856e-05
4649,folds,31,1.4055769666742236e-05
4650,reservedname,31,1.4055769666742236e-05
4651,il,31,1.4055769666742236e-05
4652,nat_series_dtype_timestamp,31,1.4055769666742236e-05
4653,byte,31,1.4055769666742236e-05
4654,perceptron,31,1.4055769666742236e-05
4655,yn,31,1.4055769666742236e-05
4656,sphericalvoronoi,31,1.4055769666742236e-05
4657,minpos,31,1.4055769666742236e-05
4658,lc2,31,1.4055769666742236e-05
4659,nit,31,1.4055769666742236e-05
4660,exp4,31,1.4055769666742236e-05
4661,type_t,31,1.4055769666742236e-05
4662,version_pattern,31,1.4055769666742236e-05
4663,dirichlet_multinomial,31,1.4055769666742236e-05
4664,ut,31,1.4055769666742236e-05
4665,float_numpy_dtype,31,1.4055769666742236e-05
4666,rop,31,1.4055769666742236e-05
4667,function_name,31,1.4055769666742236e-05
4668,x_out,31,1.4055769666742236e-05
4669,simplecategory,31,1.4055769666742236e-05
4670,y_binary,31,1.4055769666742236e-05
4671,do_event,31,1.4055769666742236e-05
4672,f_idx,31,1.4055769666742236e-05
4673,analog,31,1.4055769666742236e-05
4674,event_sequence,31,1.4055769666742236e-05
4675,fill_dtype,31,1.4055769666742236e-05
4676,x_transform,31,1.4055769666742236e-05
4677,errno,31,1.4055769666742236e-05
4678,sysconfig,31,1.4055769666742236e-05
4679,ntypes,31,1.4055769666742236e-05
4680,lvalues,31,1.4055769666742236e-05
4681,knnimputer,31,1.4055769666742236e-05
4682,archive_path,31,1.4055769666742236e-05
4683,azim,31,1.4055769666742236e-05
4684,res_index,31,1.4055769666742236e-05
4685,thetas,31,1.4055769666742236e-05
4686,cleaned_data,31,1.4055769666742236e-05
4687,new_article2,31,1.4055769666742236e-05
4688,smtp,31,1.4055769666742236e-05
4689,elems,31,1.4055769666742236e-05
4690,linthresh,31,1.4055769666742236e-05
4691,executables,31,1.4055769666742236e-05
4692,idf,31,1.4055769666742236e-05
4693,quote_name,31,1.4055769666742236e-05
4694,pizza,31,1.4055769666742236e-05
4695,player,31,1.4055769666742236e-05
4696,toc,31,1.4055769666742236e-05
4697,author_state,31,1.4055769666742236e-05
4698,fe,31,1.4055769666742236e-05
4699,l_or,31,1.4055769666742236e-05
4700,_monkey_patch_webbased_functions,31,1.4055769666742236e-05
4701,wkt_w,31,1.4055769666742236e-05
4702,force_str,31,1.4055769666742236e-05
4703,aps15_fp,31,1.4055769666742236e-05
4704,descriptor,31,1.4055769666742236e-05
4705,x_32,31,1.4055769666742236e-05
4706,aps15_f,31,1.4055769666742236e-05
4707,ur,31,1.4055769666742236e-05
4708,subplotspec,31,1.4055769666742236e-05
4709,sharex,31,1.4055769666742236e-05
4710,aps15_fpp,31,1.4055769666742236e-05
4711,ni,31,1.4055769666742236e-05
4712,pymatrixid,31,1.4055769666742236e-05
4713,centers_new,31,1.4055769666742236e-05
4714,tan,31,1.4055769666742236e-05
4715,quad_vec,31,1.4055769666742236e-05
4716,tools,31,1.4055769666742236e-05
4717,accept_sparse,31,1.4055769666742236e-05
4718,rider,31,1.4055769666742236e-05
4719,residues,31,1.4055769666742236e-05
4720,lsq_solver,31,1.4055769666742236e-05
4721,last_var,31,1.4055769666742236e-05
4722,chosen,31,1.4055769666742236e-05
4723,phip,31,1.4055769666742236e-05
4724,pandas_sql,31,1.4055769666742236e-05
4725,setting_changed,31,1.4055769666742236e-05
4726,l0,31,1.4055769666742236e-05
4727,compute_sample_weight,31,1.4055769666742236e-05
4728,overrides,31,1.4055769666742236e-05
4729,sqlparse,31,1.4055769666742236e-05
4730,url_pattern,31,1.4055769666742236e-05
4731,activations,31,1.4055769666742236e-05
4732,wpdist_no_const,31,1.4055769666742236e-05
4733,rvs2_2d,31,1.4055769666742236e-05
4734,vlist,31,1.4055769666742236e-05
4735,marks,31,1.4055769666742236e-05
4736,htable,31,1.4055769666742236e-05
4737,compressed_data,31,1.4055769666742236e-05
4738,_doc_args,31,1.4055769666742236e-05
4739,character,31,1.4055769666742236e-05
4740,row_axis,31,1.4055769666742236e-05
4741,expected_error,31,1.4055769666742236e-05
4742,max_nfev,31,1.4055769666742236e-05
4743,directed,31,1.4055769666742236e-05
4744,rawsql,31,1.4055769666742236e-05
4745,coerce,31,1.4055769666742236e-05
4746,relative,31,1.4055769666742236e-05
4747,fromfile,31,1.4055769666742236e-05
4748,boundaries,31,1.4055769666742236e-05
4749,precision_,31,1.4055769666742236e-05
4750,multiindex_year_month_day_dataframe_random_data,31,1.4055769666742236e-05
4751,x_herm,31,1.4055769666742236e-05
4752,tpath,31,1.4055769666742236e-05
4753,derphi,31,1.4055769666742236e-05
4754,restype,31,1.4055769666742236e-05
4755,rvs1_2d,31,1.4055769666742236e-05
4756,forest_classifiers,31,1.4055769666742236e-05
4757,hook,31,1.4055769666742236e-05
4758,quantiletransformer,31,1.4055769666742236e-05
4759,wkt,31,1.4055769666742236e-05
4760,spca,31,1.4055769666742236e-05
4761,col_axis,31,1.4055769666742236e-05
4762,exclude_expected,30,1.3602357742008615e-05
4763,y_reg,30,1.3602357742008615e-05
4764,jac_diff_3,30,1.3602357742008615e-05
4765,mui,30,1.3602357742008615e-05
4766,dfx,30,1.3602357742008615e-05
4767,est_html_info,30,1.3602357742008615e-05
4768,polynomial,30,1.3602357742008615e-05
4769,row_norms,30,1.3602357742008615e-05
4770,ndx2,30,1.3602357742008615e-05
4771,x_np,30,1.3602357742008615e-05
4772,binned_statistic_dd,30,1.3602357742008615e-05
4773,tps,30,1.3602357742008615e-05
4774,outp,30,1.3602357742008615e-05
4775,metric_info,30,1.3602357742008615e-05
4776,fontdict,30,1.3602357742008615e-05
4777,spines,30,1.3602357742008615e-05
4778,infinity,30,1.3602357742008615e-05
4779,pretty_name,30,1.3602357742008615e-05
4780,sasindex,30,1.3602357742008615e-05
4781,modifiers,30,1.3602357742008615e-05
4782,validate_color,30,1.3602357742008615e-05
4783,zerospolesgain,30,1.3602357742008615e-05
4784,box_intersections,30,1.3602357742008615e-05
4785,mui_err,30,1.3602357742008615e-05
4786,_boolean_dtypes,30,1.3602357742008615e-05
4787,textarea,30,1.3602357742008615e-05
4788,fdescr,30,1.3602357742008615e-05
4789,_chk_asarray,30,1.3602357742008615e-05
4790,is_valid_linkage,30,1.3602357742008615e-05
4791,complex_output,30,1.3602357742008615e-05
4792,sorted_index,30,1.3602357742008615e-05
4793,in_arr,30,1.3602357742008615e-05
4794,index_flat,30,1.3602357742008615e-05
4795,is_valid_na_for_dtype,30,1.3602357742008615e-05
4796,raccoon_face,30,1.3602357742008615e-05
4797,baseindexer,30,1.3602357742008615e-05
4798,capfd,30,1.3602357742008615e-05
4799,trimmed,30,1.3602357742008615e-05
4800,shifts,30,1.3602357742008615e-05
4801,result_kwargs,30,1.3602357742008615e-05
4802,n_points,30,1.3602357742008615e-05
4803,_read_long,30,1.3602357742008615e-05
4804,dense_results,30,1.3602357742008615e-05
4805,get_perm,30,1.3602357742008615e-05
4806,logisticregressioncv,30,1.3602357742008615e-05
4807,ntot,30,1.3602357742008615e-05
4808,field_path,30,1.3602357742008615e-05
4809,shape_bounds,30,1.3602357742008615e-05
4810,view_off,30,1.3602357742008615e-05
4811,gits,30,1.3602357742008615e-05
4812,abserr,30,1.3602357742008615e-05
4813,streaminghttpresponse,30,1.3602357742008615e-05
4814,thresh,30,1.3602357742008615e-05
4815,kml,30,1.3602357742008615e-05
4816,search_fields,30,1.3602357742008615e-05
4817,migration_loader,30,1.3602357742008615e-05
4818,idx_diff,30,1.3602357742008615e-05
4819,tv,30,1.3602357742008615e-05
4820,factorial,30,1.3602357742008615e-05
4821,tokentype,30,1.3602357742008615e-05
4822,gramxax,30,1.3602357742008615e-05
4823,vbox,30,1.3602357742008615e-05
4824,stackingclassifier,30,1.3602357742008615e-05
4825,deriv,30,1.3602357742008615e-05
4826,testdata,30,1.3602357742008615e-05
4827,mean_tweedie_deviance,30,1.3602357742008615e-05
4828,seconds,30,1.3602357742008615e-05
4829,quat,30,1.3602357742008615e-05
4830,argsreduce,30,1.3602357742008615e-05
4831,get_format,30,1.3602357742008615e-05
4832,early_stopping,30,1.3602357742008615e-05
4833,ccode,30,1.3602357742008615e-05
4834,get_module,30,1.3602357742008615e-05
4835,samples_range,30,1.3602357742008615e-05
4836,response_body,30,1.3602357742008615e-05
4837,f_opt,30,1.3602357742008615e-05
4838,features_range,30,1.3602357742008615e-05
4839,mit,30,1.3602357742008615e-05
4840,request_content,30,1.3602357742008615e-05
4841,verbositylevel,30,1.3602357742008615e-05
4842,partial_match,30,1.3602357742008615e-05
4843,extensionarrayt,30,1.3602357742008615e-05
4844,base_path,30,1.3602357742008615e-05
4845,multiply,30,1.3602357742008615e-05
4846,kindselect,30,1.3602357742008615e-05
4847,bad_p_one,30,1.3602357742008615e-05
4848,objectb,30,1.3602357742008615e-05
4849,site_dir,30,1.3602357742008615e-05
4850,line_kwargs,30,1.3602357742008615e-05
4851,help_text,30,1.3602357742008615e-05
4852,jacobian,30,1.3602357742008615e-05
4853,bad_p_two,30,1.3602357742008615e-05
4854,all_dict,30,1.3602357742008615e-05
4855,find_peaks,30,1.3602357742008615e-05
4856,incrementalpca,30,1.3602357742008615e-05
4857,datet,30,1.3602357742008615e-05
4858,line1,30,1.3602357742008615e-05
4859,corners,30,1.3602357742008615e-05
4860,numeric,30,1.3602357742008615e-05
4861,matrices,30,1.3602357742008615e-05
4862,makefy5253lastofmonthquarter,30,1.3602357742008615e-05
4863,lolims,30,1.3602357742008615e-05
4864,expected_mask,30,1.3602357742008615e-05
4865,_binmapper,30,1.3602357742008615e-05
4866,transformedbbox,30,1.3602357742008615e-05
4867,ignoreraise,30,1.3602357742008615e-05
4868,delimiters,30,1.3602357742008615e-05
4869,new_bounds,30,1.3602357742008615e-05
4870,er,30,1.3602357742008615e-05
4871,spread,30,1.3602357742008615e-05
4872,axi,30,1.3602357742008615e-05
4873,cbmonthend,30,1.3602357742008615e-05
4874,cbmonthbegin,30,1.3602357742008615e-05
4875,dln,30,1.3602357742008615e-05
4876,my_mod,30,1.3602357742008615e-05
4877,sizer,30,1.3602357742008615e-05
4878,x_eval,30,1.3602357742008615e-05
4879,key2,30,1.3602357742008615e-05
4880,xml2,30,1.3602357742008615e-05
4881,gettz,30,1.3602357742008615e-05
4882,the_union,30,1.3602357742008615e-05
4883,option_value,30,1.3602357742008615e-05
4884,ellip,30,1.3602357742008615e-05
4885,min_itemsize,30,1.3602357742008615e-05
4886,stringfilter,30,1.3602357742008615e-05
4887,author_name,30,1.3602357742008615e-05
4888,epsneg,30,1.3602357742008615e-05
4889,full_path,30,1.3602357742008615e-05
4890,values2,30,1.3602357742008615e-05
4891,kws,30,1.3602357742008615e-05
4892,bx,30,1.3602357742008615e-05
4893,subscripts,30,1.3602357742008615e-05
4894,whole,30,1.3602357742008615e-05
4895,pprint,30,1.3602357742008615e-05
4896,filters,30,1.3602357742008615e-05
4897,_status_message,30,1.3602357742008615e-05
4898,polynomialfeatures,30,1.3602357742008615e-05
4899,adaboostclassifier,30,1.3602357742008615e-05
4900,jac_diff_2,30,1.3602357742008615e-05
4901,ndx1,30,1.3602357742008615e-05
4902,data_test,30,1.3602357742008615e-05
4903,ed,30,1.3602357742008615e-05
4904,author1,30,1.3602357742008615e-05
4905,exts,30,1.3602357742008615e-05
4906,fileresponse,30,1.3602357742008615e-05
4907,uniindex,30,1.3602357742008615e-05
4908,italian_restaurant,30,1.3602357742008615e-05
4909,visit,30,1.3602357742008615e-05
4910,uplims,30,1.3602357742008615e-05
4911,localize,30,1.3602357742008615e-05
4912,isdummyroutine,30,1.3602357742008615e-05
4913,songform,29,1.3148945817274994e-05
4914,to_field_var,29,1.3148945817274994e-05
4915,check_pairwise_arrays,29,1.3148945817274994e-05
4916,sio,29,1.3148945817274994e-05
4917,src_path,29,1.3148945817274994e-05
4918,zipf,29,1.3148945817274994e-05
4919,n_nonzero_coefs,29,1.3148945817274994e-05
4920,mixed_float_frame,29,1.3148945817274994e-05
4921,wgt,29,1.3148945817274994e-05
4922,x_1,29,1.3148945817274994e-05
4923,through,29,1.3148945817274994e-05
4924,perplexity,29,1.3148945817274994e-05
4925,munits,29,1.3148945817274994e-05
4926,bayesiangaussianmixture,29,1.3148945817274994e-05
4927,capstyle,29,1.3148945817274994e-05
4928,search_var,29,1.3148945817274994e-05
4929,sparse_results,29,1.3148945817274994e-05
4930,overwrite_input,29,1.3148945817274994e-05
4931,n_vars,29,1.3148945817274994e-05
4932,subplot_kw,29,1.3148945817274994e-05
4933,levs,29,1.3148945817274994e-05
4934,testmodel,29,1.3148945817274994e-05
4935,targ1,29,1.3148945817274994e-05
4936,pandasdtype,29,1.3148945817274994e-05
4937,sid,29,1.3148945817274994e-05
4938,fileextensionvalidator,29,1.3148945817274994e-05
4939,load_svmlight_file,29,1.3148945817274994e-05
4940,cluster,29,1.3148945817274994e-05
4941,foodmanager,29,1.3148945817274994e-05
4942,kron,29,1.3148945817274994e-05
4943,r_,29,1.3148945817274994e-05
4944,dbc_dp,29,1.3148945817274994e-05
4945,test_score,29,1.3148945817274994e-05
4946,count1,29,1.3148945817274994e-05
4947,e0,29,1.3148945817274994e-05
4948,num_points,29,1.3148945817274994e-05
4949,permutation_importance,29,1.3148945817274994e-05
4950,first_call,29,1.3148945817274994e-05
4951,prob_true,29,1.3148945817274994e-05
4952,y_pred2,29,1.3148945817274994e-05
4953,custom,29,1.3148945817274994e-05
4954,recarray,29,1.3148945817274994e-05
4955,x_bin,29,1.3148945817274994e-05
4956,med,29,1.3148945817274994e-05
4957,markerstyle,29,1.3148945817274994e-05
4958,manager_class,29,1.3148945817274994e-05
4959,ax5,29,1.3148945817274994e-05
4960,ts1,29,1.3148945817274994e-05
4961,partition_cols,29,1.3148945817274994e-05
4962,app_labels,29,1.3148945817274994e-05
4963,assert_raises_fpe,29,1.3148945817274994e-05
4964,base_dir,29,1.3148945817274994e-05
4965,flat,29,1.3148945817274994e-05
4966,postgresqlmodel,29,1.3148945817274994e-05
4967,num_values,29,1.3148945817274994e-05
4968,input_sets,29,1.3148945817274994e-05
4969,divisor,29,1.3148945817274994e-05
4970,price,29,1.3148945817274994e-05
4971,raw_data,29,1.3148945817274994e-05
4972,mcoll,29,1.3148945817274994e-05
4973,expected_quat,29,1.3148945817274994e-05
4974,sw_train,29,1.3148945817274994e-05
4975,nlevels,29,1.3148945817274994e-05
4976,valinit,29,1.3148945817274994e-05
4977,new_array,29,1.3148945817274994e-05
4978,memmap,29,1.3148945817274994e-05
4979,n_points_per_cluster,29,1.3148945817274994e-05
4980,codename,29,1.3148945817274994e-05
4981,list_editable,29,1.3148945817274994e-05
4982,_gam,29,1.3148945817274994e-05
4983,zoom,29,1.3148945817274994e-05
4984,table_type,29,1.3148945817274994e-05
4985,minor_codes,29,1.3148945817274994e-05
4986,randomizedsearchcv,29,1.3148945817274994e-05
4987,log1p,29,1.3148945817274994e-05
4988,bin_mapper,29,1.3148945817274994e-05
4989,periodogram,29,1.3148945817274994e-05
4990,kdepdf,29,1.3148945817274994e-05
4991,feeds,29,1.3148945817274994e-05
4992,end_intv,29,1.3148945817274994e-05
4993,opclasses,29,1.3148945817274994e-05
4994,alg,29,1.3148945817274994e-05
4995,coef1,29,1.3148945817274994e-05
4996,data_dict,29,1.3148945817274994e-05
4997,requires_system_checks,29,1.3148945817274994e-05
4998,sb,29,1.3148945817274994e-05
4999,first_row,29,1.3148945817274994e-05
5000,slack,29,1.3148945817274994e-05
5001,italianrestaurant,29,1.3148945817274994e-05
5002,metric_name,29,1.3148945817274994e-05
5003,name_str,29,1.3148945817274994e-05
5004,exec,29,1.3148945817274994e-05
5005,flip,29,1.3148945817274994e-05
5006,fill_method,29,1.3148945817274994e-05
5007,beforethisafter,29,1.3148945817274994e-05
5008,major_codes,29,1.3148945817274994e-05
5009,polys,29,1.3148945817274994e-05
5010,hspace,29,1.3148945817274994e-05
5011,init_params,29,1.3148945817274994e-05
5012,ppf,29,1.3148945817274994e-05
5013,str_type,29,1.3148945817274994e-05
5014,rq,29,1.3148945817274994e-05
5015,zeros_like,29,1.3148945817274994e-05
5016,_fields_,29,1.3148945817274994e-05
5017,get_groupby_method_args,29,1.3148945817274994e-05
5018,zpk,29,1.3148945817274994e-05
5019,u3,29,1.3148945817274994e-05
5020,score_name,29,1.3148945817274994e-05
5021,nlc,29,1.3148945817274994e-05
5022,series_result,29,1.3148945817274994e-05
5023,dfitpack,29,1.3148945817274994e-05
5024,fpos32,29,1.3148945817274994e-05
5025,latitude,29,1.3148945817274994e-05
5026,df_err,29,1.3148945817274994e-05
5027,segment,29,1.3148945817274994e-05
5028,dok_matrix,29,1.3148945817274994e-05
5029,null_distribution,29,1.3148945817274994e-05
5030,birch,29,1.3148945817274994e-05
5031,maxs,29,1.3148945817274994e-05
5032,binned_feature,29,1.3148945817274994e-05
5033,migrationrecorder,29,1.3148945817274994e-05
5034,geom_type,29,1.3148945817274994e-05
5035,middlewaremixin,29,1.3148945817274994e-05
5036,get_handle,29,1.3148945817274994e-05
5037,palette,29,1.3148945817274994e-05
5038,module_names,29,1.3148945817274994e-05
5039,descent,29,1.3148945817274994e-05
5040,roccurvedisplay,29,1.3148945817274994e-05
5041,rolling,29,1.3148945817274994e-05
5042,parsing,29,1.3148945817274994e-05
5043,jobs,29,1.3148945817274994e-05
5044,sample_weight_train,29,1.3148945817274994e-05
5045,margins,29,1.3148945817274994e-05
5046,m_matvec,29,1.3148945817274994e-05
5047,foreign_object,29,1.3148945817274994e-05
5048,predictionerrordisplay,29,1.3148945817274994e-05
5049,swallow,29,1.3148945817274994e-05
5050,tight,29,1.3148945817274994e-05
5051,structdesc,29,1.3148945817274994e-05
5052,qz,29,1.3148945817274994e-05
5053,randomdata,29,1.3148945817274994e-05
5054,kern,29,1.3148945817274994e-05
5055,lazystr,29,1.3148945817274994e-05
5056,promote_types,29,1.3148945817274994e-05
5057,index_large,29,1.3148945817274994e-05
5058,fastica,29,1.3148945817274994e-05
5059,n_features_to_select,29,1.3148945817274994e-05
5060,astype_overflowsafe,29,1.3148945817274994e-05
5061,isolationforest,29,1.3148945817274994e-05
